# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 54.870, 11.285 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Paris, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW"}, "params": {"local_time": "true", "header": "true", "lat": "54.870423538391", "lon": "11.284647875218944", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "100000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "false"}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,0
2019-01-01 08:00,2019-01-01 09:00,2799.090
2019-01-01 09:00,2019-01-01 10:00,8246.566
2019-01-01 10:00,2019-01-01 11:00,15759.796
2019-01-01 11:00,2019-01-01 12:00,20437.666
2019-01-01 12:00,2019-01-01 13:00,19549.272
2019-01-01 13:00,2019-01-01 14:00,8907.955
2019-01-01 14:00,2019-01-01 15:00,408.181
2019-01-01 15:00,2019-01-01 16:00,0
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,0
2019-01-02 08:00,2019-01-02 09:00,14593.405
2019-01-02 09:00,2019-01-02 10:00,34301.291
2019-01-02 10:00,2019-01-02 11:00,45230.973
2019-01-02 11:00,2019-01-02 12:00,47413.361
2019-01-02 12:00,2019-01-02 13:00,40127.007
2019-01-02 13:00,2019-01-02 14:00,23888.471
2019-01-02 14:00,2019-01-02 15:00,4465.084
2019-01-02 15:00,2019-01-02 16:00,0
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,0
2019-01-03 08:00,2019-01-03 09:00,13819.677
2019-01-03 09:00,2019-01-03 10:00,23522.241
2019-01-03 10:00,2019-01-03 11:00,27935.455
2019-01-03 11:00,2019-01-03 12:00,25535.684
2019-01-03 12:00,2019-01-03 13:00,13591.844
2019-01-03 13:00,2019-01-03 14:00,7186.309
2019-01-03 14:00,2019-01-03 15:00,508.863
2019-01-03 15:00,2019-01-03 16:00,0
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,0
2019-01-04 08:00,2019-01-04 09:00,132.722
2019-01-04 09:00,2019-01-04 10:00,3097.569
2019-01-04 10:00,2019-01-04 11:00,14193.705
2019-01-04 11:00,2019-01-04 12:00,17233.266
2019-01-04 12:00,2019-01-04 13:00,12560.727
2019-01-04 13:00,2019-01-04 14:00,5748.119
2019-01-04 14:00,2019-01-04 15:00,112.528
2019-01-04 15:00,2019-01-04 16:00,0
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,0
2019-01-05 08:00,2019-01-05 09:00,749.480
2019-01-05 09:00,2019-01-05 10:00,5578.656
2019-01-05 10:00,2019-01-05 11:00,14489.152
2019-01-05 11:00,2019-01-05 12:00,23378.017
2019-01-05 12:00,2019-01-05 13:00,24623.660
2019-01-05 13:00,2019-01-05 14:00,12913.292
2019-01-05 14:00,2019-01-05 15:00,1883.250
