# Renewables.ninja Wind power (Point API) - 54.887, 10.913 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Paris, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW"}, "params": {"local_time": "true", "header": "true", "lat": "54.887133500227854", "lon": "10.913047554465075", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "150000", "height": "80", "turbine": "Vestas V90 2000", "raw": "false"}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,137775.699
2019-01-01 01:00,2019-01-01 02:00,141349.656
2019-01-01 02:00,2019-01-01 03:00,143382.554
2019-01-01 03:00,2019-01-01 04:00,144543.565
2019-01-01 04:00,2019-01-01 05:00,144402.818
2019-01-01 05:00,2019-01-01 06:00,145240.895
2019-01-01 06:00,2019-01-01 07:00,146070.936
2019-01-01 07:00,2019-01-01 08:00,145891.927
2019-01-01 08:00,2019-01-01 09:00,146592.257
2019-01-01 09:00,2019-01-01 10:00,147484.993
2019-01-01 10:00,2019-01-01 11:00,148239.857
2019-01-01 11:00,2019-01-01 12:00,148677.251
2019-01-01 12:00,2019-01-01 13:00,148628.427
2019-01-01 13:00,2019-01-01 14:00,148665.425
2019-01-01 14:00,2019-01-01 15:00,148695.477
2019-01-01 15:00,2019-01-01 16:00,148699.908
2019-01-01 16:00,2019-01-01 17:00,148596.120
2019-01-01 17:00,2019-01-01 18:00,148126.724
2019-01-01 18:00,2019-01-01 19:00,147138.852
2019-01-01 19:00,2019-01-01 20:00,145774.649
2019-01-01 20:00,2019-01-01 21:00,144118.326
2019-01-01 21:00,2019-01-01 22:00,144195.142
2019-01-01 22:00,2019-01-01 23:00,144046.463
2019-01-01 23:00,2019-01-02 00:00,144088.286
2019-01-02 00:00,2019-01-02 01:00,145269.759
2019-01-02 01:00,2019-01-02 02:00,146350.493
2019-01-02 02:00,2019-01-02 03:00,146429.648
2019-01-02 03:00,2019-01-02 04:00,145718.255
2019-01-02 04:00,2019-01-02 05:00,145663.375
2019-01-02 05:00,2019-01-02 06:00,144602.973
2019-01-02 06:00,2019-01-02 07:00,143219.014
2019-01-02 07:00,2019-01-02 08:00,141446.788
2019-01-02 08:00,2019-01-02 09:00,138094.498
2019-01-02 09:00,2019-01-02 10:00,137361.922
2019-01-02 10:00,2019-01-02 11:00,138496.824
2019-01-02 11:00,2019-01-02 12:00,137487.716
2019-01-02 12:00,2019-01-02 13:00,134907.351
2019-01-02 13:00,2019-01-02 14:00,131497.227
2019-01-02 14:00,2019-01-02 15:00,126518.216
2019-01-02 15:00,2019-01-02 16:00,119099.254
2019-01-02 16:00,2019-01-02 17:00,107681.721
2019-01-02 17:00,2019-01-02 18:00,87054.248
2019-01-02 18:00,2019-01-02 19:00,75107.797
2019-01-02 19:00,2019-01-02 20:00,69099.007
2019-01-02 20:00,2019-01-02 21:00,65121.526
2019-01-02 21:00,2019-01-02 22:00,61657.335
2019-01-02 22:00,2019-01-02 23:00,58841.407
2019-01-02 23:00,2019-01-03 00:00,57842.001
2019-01-03 00:00,2019-01-03 01:00,58038.149
2019-01-03 01:00,2019-01-03 02:00,59491.096
2019-01-03 02:00,2019-01-03 03:00,60167.005
2019-01-03 03:00,2019-01-03 04:00,60658.234
2019-01-03 04:00,2019-01-03 05:00,61094.300
2019-01-03 05:00,2019-01-03 06:00,61095.944
2019-01-03 06:00,2019-01-03 07:00,61092.447
2019-01-03 07:00,2019-01-03 08:00,59866.395
2019-01-03 08:00,2019-01-03 09:00,57601.741
2019-01-03 09:00,2019-01-03 10:00,51957.185
2019-01-03 10:00,2019-01-03 11:00,46982.843
2019-01-03 11:00,2019-01-03 12:00,42542.189
2019-01-03 12:00,2019-01-03 13:00,37300.784
2019-01-03 13:00,2019-01-03 14:00,35085.098
2019-01-03 14:00,2019-01-03 15:00,33523.797
2019-01-03 15:00,2019-01-03 16:00,28149.351
2019-01-03 16:00,2019-01-03 17:00,26788.188
2019-01-03 17:00,2019-01-03 18:00,25111.022
2019-01-03 18:00,2019-01-03 19:00,24994.551
2019-01-03 19:00,2019-01-03 20:00,30708.184
2019-01-03 20:00,2019-01-03 21:00,37995.397
2019-01-03 21:00,2019-01-03 22:00,45115.161
2019-01-03 22:00,2019-01-03 23:00,51250.027
2019-01-03 23:00,2019-01-04 00:00,59259.007
2019-01-04 00:00,2019-01-04 01:00,71391.293
2019-01-04 01:00,2019-01-04 02:00,82950.359
2019-01-04 02:00,2019-01-04 03:00,89796.940
2019-01-04 03:00,2019-01-04 04:00,97333.743
2019-01-04 04:00,2019-01-04 05:00,93381.675
2019-01-04 05:00,2019-01-04 06:00,99877.995
2019-01-04 06:00,2019-01-04 07:00,108636.211
2019-01-04 07:00,2019-01-04 08:00,113297.408
2019-01-04 08:00,2019-01-04 09:00,113122.479
2019-01-04 09:00,2019-01-04 10:00,108306.371
2019-01-04 10:00,2019-01-04 11:00,103036.299
2019-01-04 11:00,2019-01-04 12:00,98511.156
2019-01-04 12:00,2019-01-04 13:00,97263.695
2019-01-04 13:00,2019-01-04 14:00,97967.715
2019-01-04 14:00,2019-01-04 15:00,98365.709
2019-01-04 15:00,2019-01-04 16:00,98259.729
2019-01-04 16:00,2019-01-04 17:00,101733.129
2019-01-04 17:00,2019-01-04 18:00,107679.975
2019-01-04 18:00,2019-01-04 19:00,109782.797
2019-01-04 19:00,2019-01-04 20:00,108994.828
2019-01-04 20:00,2019-01-04 21:00,106406.618
2019-01-04 21:00,2019-01-04 22:00,107676.096
2019-01-04 22:00,2019-01-04 23:00,108317.924
2019-01-04 23:00,2019-01-05 00:00,107671.747
2019-01-05 00:00,2019-01-05 01:00,105216.904
2019-01-05 01:00,2019-01-05 02:00,97790.637
2019-01-05 02:00,2019-01-05 03:00,95363.122
2019-01-05 03:00,2019-01-05 04:00,92824.518
2019-01-05 04:00,2019-01-05 05:00,85745.427
2019-01-05 05:00,2019-01-05 06:00,78392.876
2019-01-05 06:00,2019-01-05 07:00,70275.136
2019-01-05 07:00,2019-01-05 08:00,62271.376
2019-01-05 08:00,2019-01-05 09:00,60429.434
2019-01-05 09:00,2019-01-05 10:00,49771.191
2019-01-05 10:00,2019-01-05 11:00,42083.600
2019-01-05 11:00,2019-01-05 12:00,41750.974
2019-01-05 12:00,2019-01-05 13:00,37648.545
2019-01-05 13:00,2019-01-05 14:00,36106.339
2019-01-05 14:00,2019-01-05 15:00,41698.737
2019-01-05 15:00,2019-01-05 16:00,45746.855
2019-01-05 16:00,2019-01-05 17:00,44197.723
2019-01-05 17:00,2019-01-05 18:00,37303.517
2019-01-05 18:00,2019-01-05 19:00,27740.492
2019-01-05 19:00,2019-01-05 20:00,18186.952
2019-01-05 20:00,2019-01-05 21:00,10484.725
2019-01-05 21:00,2019-01-05 22:00,5535.834
2019-01-05 22:00,2019-01-05 23:00,2608.263
2019-01-05 23:00,2019-01-06 00:00,1194.137
2019-01-06 00:00,2019-01-06 01:00,720.684
2019-01-06 01:00,2019-01-06 02:00,508.394
2019-01-06 02:00,2019-01-06 03:00,342.088
2019-01-06 03:00,2019-01-06 04:00,492.013
2019-01-06 04:00,2019-01-06 05:00,924.674
2019-01-06 05:00,2019-01-06 06:00,1626.848
2019-01-06 06:00,2019-01-06 07:00,2549.705
2019-01-06 07:00,2019-01-06 08:00,3740.081
2019-01-06 08:00,2019-01-06 09:00,4981.156
2019-01-06 09:00,2019-01-06 10:00,6182.314
2019-01-06 10:00,2019-01-06 11:00,7466.313
2019-01-06 11:00,2019-01-06 12:00,8964.247
2019-01-06 12:00,2019-01-06 13:00,9996.272
2019-01-06 13:00,2019-01-06 14:00,10300.730
2019-01-06 14:00,2019-01-06 15:00,11181.679
2019-01-06 15:00,2019-01-06 16:00,12841.869
2019-01-06 16:00,2019-01-06 17:00,15355.279
2019-01-06 17:00,2019-01-06 18:00,17988.968
2019-01-06 18:00,2019-01-06 19:00,20268.737
2019-01-06 19:00,2019-01-06 20:00,24355.068
2019-01-06 20:00,2019-01-06 21:00,34354.675
2019-01-06 21:00,2019-01-06 22:00,46071.754
2019-01-06 22:00,2019-01-06 23:00,49653.921
2019-01-06 23:00,2019-01-07 00:00,46704.206
2019-01-07 00:00,2019-01-07 01:00,43750.306
2019-01-07 01:00,2019-01-07 02:00,44564.448
2019-01-07 02:00,2019-01-07 03:00,44997.031
2019-01-07 03:00,2019-01-07 04:00,43337.502
2019-01-07 04:00,2019-01-07 05:00,43331.453
2019-01-07 05:00,2019-01-07 06:00,47828.145
2019-01-07 06:00,2019-01-07 07:00,50123.271
2019-01-07 07:00,2019-01-07 08:00,52859.379
2019-01-07 08:00,2019-01-07 09:00,53244.636
2019-01-07 09:00,2019-01-07 10:00,50869.297
2019-01-07 10:00,2019-01-07 11:00,49162.134
2019-01-07 11:00,2019-01-07 12:00,48012.026
2019-01-07 12:00,2019-01-07 13:00,50180.240
2019-01-07 13:00,2019-01-07 14:00,53766.444
2019-01-07 14:00,2019-01-07 15:00,65493.014
2019-01-07 15:00,2019-01-07 16:00,88849.357
2019-01-07 16:00,2019-01-07 17:00,113300.476
2019-01-07 17:00,2019-01-07 18:00,120509.531
2019-01-07 18:00,2019-01-07 19:00,124911.621
2019-01-07 19:00,2019-01-07 20:00,127717.915
2019-01-07 20:00,2019-01-07 21:00,131095.835
2019-01-07 21:00,2019-01-07 22:00,131513.454
2019-01-07 22:00,2019-01-07 23:00,129413.346
2019-01-07 23:00,2019-01-08 00:00,127891.219
2019-01-08 00:00,2019-01-08 01:00,126567.234
2019-01-08 01:00,2019-01-08 02:00,123427.964
2019-01-08 02:00,2019-01-08 03:00,128665.559
2019-01-08 03:00,2019-01-08 04:00,132489.258
2019-01-08 04:00,2019-01-08 05:00,138120.582
2019-01-08 05:00,2019-01-08 06:00,138499.471
2019-01-08 06:00,2019-01-08 07:00,135866.956
2019-01-08 07:00,2019-01-08 08:00,136737.458
2019-01-08 08:00,2019-01-08 09:00,135454.029
2019-01-08 09:00,2019-01-08 10:00,134998.270
2019-01-08 10:00,2019-01-08 11:00,135848.040
2019-01-08 11:00,2019-01-08 12:00,135813.853
2019-01-08 12:00,2019-01-08 13:00,132622.278
2019-01-08 13:00,2019-01-08 14:00,132949.854
2019-01-08 14:00,2019-01-08 15:00,136450.774
2019-01-08 15:00,2019-01-08 16:00,139935.640
2019-01-08 16:00,2019-01-08 17:00,141093.609
2019-01-08 17:00,2019-01-08 18:00,142086.889
2019-01-08 18:00,2019-01-08 19:00,143698.095
2019-01-08 19:00,2019-01-08 20:00,144211.878
2019-01-08 20:00,2019-01-08 21:00,144220.059
2019-01-08 21:00,2019-01-08 22:00,144459.321
2019-01-08 22:00,2019-01-08 23:00,144850.763
2019-01-08 23:00,2019-01-09 00:00,144849.848
2019-01-09 00:00,2019-01-09 01:00,144590.981
2019-01-09 01:00,2019-01-09 02:00,144268.011
2019-01-09 02:00,2019-01-09 03:00,143927.627
2019-01-09 03:00,2019-01-09 04:00,143240.091
2019-01-09 04:00,2019-01-09 05:00,142081.025
2019-01-09 05:00,2019-01-09 06:00,141022.736
2019-01-09 06:00,2019-01-09 07:00,140071.650
2019-01-09 07:00,2019-01-09 08:00,139178.604
2019-01-09 08:00,2019-01-09 09:00,138562.893
2019-01-09 09:00,2019-01-09 10:00,138564.801
2019-01-09 10:00,2019-01-09 11:00,138048.910
2019-01-09 11:00,2019-01-09 12:00,135555.363
2019-01-09 12:00,2019-01-09 13:00,132458.201
2019-01-09 13:00,2019-01-09 14:00,129477.332
2019-01-09 14:00,2019-01-09 15:00,124043.911
2019-01-09 15:00,2019-01-09 16:00,117163.736
2019-01-09 16:00,2019-01-09 17:00,114462.032
2019-01-09 17:00,2019-01-09 18:00,108314.528
2019-01-09 18:00,2019-01-09 19:00,100759.490
2019-01-09 19:00,2019-01-09 20:00,91615.759
2019-01-09 20:00,2019-01-09 21:00,83756.743
2019-01-09 21:00,2019-01-09 22:00,77092.045
2019-01-09 22:00,2019-01-09 23:00,68497.851
2019-01-09 23:00,2019-01-10 00:00,55707.873
2019-01-10 00:00,2019-01-10 01:00,46679.439
2019-01-10 01:00,2019-01-10 02:00,40805.783
2019-01-10 02:00,2019-01-10 03:00,34934.028
2019-01-10 03:00,2019-01-10 04:00,30923.769
2019-01-10 04:00,2019-01-10 05:00,29103.084
2019-01-10 05:00,2019-01-10 06:00,29359.993
2019-01-10 06:00,2019-01-10 07:00,28895.575
2019-01-10 07:00,2019-01-10 08:00,25810.989
2019-01-10 08:00,2019-01-10 09:00,22910.721
2019-01-10 09:00,2019-01-10 10:00,18543.318
2019-01-10 10:00,2019-01-10 11:00,14137.725
2019-01-10 11:00,2019-01-10 12:00,12238.257
2019-01-10 12:00,2019-01-10 13:00,12774.018
2019-01-10 13:00,2019-01-10 14:00,15843.812
2019-01-10 14:00,2019-01-10 15:00,19475.021
2019-01-10 15:00,2019-01-10 16:00,22611.581
2019-01-10 16:00,2019-01-10 17:00,27530.492
2019-01-10 17:00,2019-01-10 18:00,35771.297
2019-01-10 18:00,2019-01-10 19:00,46967.234
2019-01-10 19:00,2019-01-10 20:00,57237.942
2019-01-10 20:00,2019-01-10 21:00,65519.883
2019-01-10 21:00,2019-01-10 22:00,72647.673
2019-01-10 22:00,2019-01-10 23:00,77890.447
2019-01-10 23:00,2019-01-11 00:00,78322.168
2019-01-11 00:00,2019-01-11 01:00,80229.468
2019-01-11 01:00,2019-01-11 02:00,77779.138
2019-01-11 02:00,2019-01-11 03:00,78802.391
2019-01-11 03:00,2019-01-11 04:00,83536.438
2019-01-11 04:00,2019-01-11 05:00,93349.187
2019-01-11 05:00,2019-01-11 06:00,96757.622
2019-01-11 06:00,2019-01-11 07:00,101961.020
2019-01-11 07:00,2019-01-11 08:00,101686.453
2019-01-11 08:00,2019-01-11 09:00,106539.824
2019-01-11 09:00,2019-01-11 10:00,109997.017
2019-01-11 10:00,2019-01-11 11:00,108232.041
2019-01-11 11:00,2019-01-11 12:00,109412.434
2019-01-11 12:00,2019-01-11 13:00,111878.952
2019-01-11 13:00,2019-01-11 14:00,111379.057
2019-01-11 14:00,2019-01-11 15:00,107680.687
2019-01-11 15:00,2019-01-11 16:00,106461.230
2019-01-11 16:00,2019-01-11 17:00,100527.528
2019-01-11 17:00,2019-01-11 18:00,91533.537
2019-01-11 18:00,2019-01-11 19:00,85665.927
2019-01-11 19:00,2019-01-11 20:00,81158.097
2019-01-11 20:00,2019-01-11 21:00,77368.390
2019-01-11 21:00,2019-01-11 22:00,74078.537
2019-01-11 22:00,2019-01-11 23:00,69994.504
2019-01-11 23:00,2019-01-12 00:00,64262.527
2019-01-12 00:00,2019-01-12 01:00,62133.860
